본부명,지사명,단속장소,교통량,단속건수,과적,불법개조,연도
강원본부,강릉지사,강릉영업소,688,164,162,2,2022
강원본부,강릉지사,근덕영업소,243,133,90,43,2022
강원본부,강릉지사,남강릉영업소,96,32,28,4,2022
강원본부,강릉지사,남양양영업소,170,63,50,13,2022
강원본부,강릉지사,동해영업소,145,75,53,22,2022
강원본부,강릉지사,망상영업소,58,16,16,0,2022
강원본부,강릉지사,북강릉영업소,55,13,13,0,2022
강원본부,강릉지사,삼척영업소,52,32,19,13,2022
강원본부,강릉지사,옥계영업소,151,57,43,14,2022
강원본부,대관령지사,대관령영업소,64,8,4,4,2022
강원본부,대관령지사,대관령지사 교통안전팀,750,214,214,0,2022
강원본부,대관령지사,면온영업소,10,3,3,0,2022
강원본부,대관령지사,속사영업소,57,18,14,4,2022
강원본부,대관령지사,진부영업소,81,25,22,3,2022
강원본부,대관령지사,평창영업소,90,60,36,24,2022
강원본부,양양지사,내촌영업소,78,26,26,0,2022
강원본부,양양지사,북양양영업소,98,30,29,1,2022
강원본부,양양지사,서양양영업소,18,6,6,0,2022
강원본부,양양지사,속초영업소,217,75,71,4,2022
강원본부,양양지사,양양영업소,89,39,31,8,2022
강원본부,양양지사,인제영업소,81,27,27,0,2022
강원본부,양양지사,하조대영업소,138,70,52,18,2022
강원본부,원주지사,둔내영업소,72,16,16,0,2022
강원본부,원주지사,문막영업소,512,164,160,4,2022
강원본부,원주지사,새말영업소,140,40,38,2,2022
강원본부,원주지사,여주영업소,594,193,192,1,2022
강원본부,원주지사,원주영업소,1162,362,362,0,2022
강원본부,이천지사,남여주영업소,340,112,100,12,2022
강원본부,이천지사,덕평영업소,605,228,199,29,2022
강원본부,이천지사,북여주영업소,267,93,83,10,2022
강원본부,이천지사,서여주영업소,151,46,42,4,2022
강원본부,이천지사,양지영업소,1016,299,271,28,2022
강원본부,이천지사,양평영업소,200,72,68,4,2022
강원본부,이천지사,용인영업소,772,295,248,47,2022
강원본부,이천지사,이천영업소,368,124,122,2,2022
강원본부,춘천지사,강촌영업소,58,19,19,0,2022
강원본부,춘천지사,남양주영업소,407,141,133,8,2022
강원본부,춘천지사,남춘천영업소,45,15,14,1,2022
강원본부,춘천지사,덕소삼패영업소,237,83,80,3,2022
강원본부,춘천지사,동홍천영업소,105,36,35,1,2022
강원본부,춘천지사,서종영업소,29,11,10,1,2022
강원본부,춘천지사,설악영업소,279,93,93,0,2022
강원본부,춘천지사,조양영업소,34,11,11,0,2022
강원본부,춘천지사,화도영업소,358,122,120,2,2022
강원본부,홍천지사,북원주영업소,56,13,12,1,2022
강원본부,홍천지사,춘천영업소,328,84,77,7,2022
강원본부,홍천지사,홍천영업소,189,59,56,3,2022
강원본부,홍천지사,횡성영업소,359,135,111,24,2022
광주전남본부,광주전남본부 기술처,광주전남본부 교통팀,167,61,56,5,2022
광주전남본부,광주지사,광주영업소,2427,792,779,13,2022
광주전남본부,광주지사,담양영업소,563,186,185,1,2022
광주전남본부,광주지사,동광주영업소,1729,555,541,14,2022
광주전남본부,광주지사,백양사영업소,764,257,255,2,2022
광주전남본부,광주지사,장성영업소,1406,466,463,3,2022
광주전남본부,광주지사,창평영업소,353,115,115,0,2022
광주전남본부,구례지사,구례화엄사영업소,258,90,87,3,2022
광주전남본부,구례지사,동순천영업소,719,241,239,2,2022
광주전남본부,구례지사,북남원영업소,135,49,45,4,2022
광주전남본부,구례지사,서남원영업소,195,89,71,18,2022
